ID,Density,Distance,Time,Gender,Age,MaritalStatus,HouseholdSize,CHS,OcR,IncomeT,METT,BLanes,MBus,M_motocycle,M_car,tricycle_taxi,taxi,HND,Degree,Posgraduate
132,1,4.6,7,1,30,1,1,0,0,0.65,0.05,1,0,1,0,0,0,0,0,1
62,0,8.4,22,1,43,0,4,1,1,2.78,0.15,1,0,1,0,0,0,0,1,0
241,0,3.4,35,1,34,0,5,2,1,1.5230000000000001,0.35700000000000004,0,0,1,0,0,0,1,0,0
40,1,3.6,12,1,46,0,7,3,1,4.75,0.2,1,0,0,0,0,0,0,1,0
191,0,7.6,20,1,29,0,5,2,0,0.7,0.05,1,0,1,0,0,0,0,0,0
286,1,6.0,25,0,47,0,3,1,1,1.75,0.1,1,1,1,0,0,0,1,0,0
393,1,3.4,16,1,32,1,1,0,0,0.85,0.075,1,1,0,1,0,0,0,0,0
212,1,5.5,60,1,34,0,2,1,0,1.0,0.3,1,1,1,0,0,0,1,0,0
176,1,10.0,40,0,28,0,3,1,0,0.85,0.124,1,0,0,1,0,0,0,0,0
365,0,2.9,12,0,28,1,1,0,0,1.2,0.09,1,0,0,1,0,0,1,0,0
278,1,10.0,10,1,44,0,5,3,0,1.45,0.1,1,1,1,0,0,0,1,0,0
282,1,7.0,10,1,40,0,5,3,1,1.2,0.1,1,0,1,0,0,0,1,0,0
35,0,7.1,18,1,32,0,5,2,1,1.5,0.09,0,1,1,0,0,0,0,1,0
292,1,6.0,30,1,36,0,3,1,0,1.12,0.06,1,1,1,0,0,0,1,0,0
279,1,10.0,20,1,40,0,6,4,0,1.2,0.1,1,0,1,0,0,0,1,0,0
33,1,12.0,28,1,32,0,5,3,1,1.85,0.3,0,0,1,0,0,0,0,1,0
90,1,14.0,30,0,22,1,1,0,0,0.7,0.2,0,1,0,0,1,0,1,0,0
85,0,8.0,45,1,28,0,3,4,0,1.4,0.08,0,1,1,0,0,0,1,0,0
312,0,1.3,7,0,32,0,5,3,0,0.65,0.2,1,1,1,0,0,0,0,0,0
7,1,9.2,25,1,44,0,6,0,1,2.85,0.35,1,0,0,0,0,0,0,1,0
341,1,5.6,16,1,49,1,5,1,1,1.65,0.25,1,0,0,0,0,0,1,0,0
66,1,9.2,18,1,33,0,4,2,1,3.0,0.15,1,0,1,0,0,0,0,1,0
263,1,16.0,50,0,38,0,6,4,0,1.2,0.2,0,1,0,0,0,1,0,0,0
54,1,4.5,7,1,38,0,5,3,1,2.25,1.0,1,0,0,0,0,0,0,1,0
75,1,18.0,50,0,25,1,5,0,0,1.45,0.1,0,0,1,0,0,0,1,0,0
39,0,2.1,6,1,36,0,4,1,1,3.5,1.0,1,0,0,0,0,0,0,1,0
138,1,5.0,45,1,35,0,4,2,0,1.8,0.07,0,1,1,0,0,0,1,0,0
432,1,3.8,20,0,33,0,3,0,0,0.82,0.085,1,1,0,1,0,0,0,0,0
370,1,7.4,45,0,24,1,1,0,0,1.6,0.012,1,0,0,0,0,0,1,0,0
131,0,14.0,45,1,32,0,3,2,0,1.35,0.1,1,1,1,0,0,0,1,0,0
67,0,3.0,8,1,52,0,8,3,1,3.35,0.45,1,0,0,0,0,0,0,1,0
207,1,9.0,15,1,34,0,4,2,1,3.25,0.3,0,1,1,0,0,0,0,1,0
159,1,8.0,30,1,26,1,2,0,0,0.45,0.08,0,0,1,0,0,0,0,0,0
64,0,2.1,6,1,36,0,10,6,1,3.2319999999999998,0.35,0,0,0,0,0,0,0,1,0
12,1,9.7,28,0,22,1,3,2,0,1.15,0.05,1,0,0,0,0,0,1,0,0
24,1,1.0,5,1,22,1,5,3,0,0.5,0.02,0,1,0,0,0,1,0,0,1
396,0,3.8,30,0,29,1,2,1,0,1.2,0.075,1,0,1,0,0,0,1,0,0
60,0,8.2,20,1,29,0,5,3,1,3.32,0.4,1,0,0,0,0,0,0,1,0
438,1,6.5,25,1,28,1,1,0,0,0.97,0.045,1,0,0,0,0,0,0,0,0
372,0,6.2,35,1,43,0,6,4,1,4.95,0.35,0,0,0,0,0,0,0,1,0
346,0,3.4,15,0,25,1,1,0,0,0.7,0.09,1,1,0,0,1,0,0,0,0
243,1,0.2,2,1,38,0,5,3,0,0.45,0.0,1,0,0,0,0,1,0,0,1
415,1,5.6,30,1,42,0,7,4,0,0.6,0.03,1,1,0,0,0,0,0,0,1
113,1,12.8,20,1,31,0,3,1,1,2.3,0.12,1,0,1,0,0,0,0,1,0
421,1,3.9,18,0,20,1,1,0,0,0.45,0.045,1,1,0,1,0,0,0,0,1
272,1,10.0,30,0,35,0,4,2,0,0.89,0.1,1,0,1,0,0,0,1,0,0
112,0,3.5,30,1,35,0,7,3,1,1.8,0.12,1,0,1,0,0,0,1,0,0
249,0,10.0,14,1,36,1,1,0,1,2.0,0.055,0,1,1,0,0,0,1,0,0
126,0,15.0,13,1,37,0,6,3,0,0.85,0.04,0,1,1,0,0,0,0,0,0
30,1,6.5,12,1,38,0,4,2,1,2.95,0.3,1,1,0,0,0,0,0,1,0
315,1,8.4,30,1,24,1,1,0,0,0.58,0.1,1,1,1,0,0,0,0,0,0
332,0,3.1,15,0,34,0,4,1,0,0.65,0.05,1,1,1,0,0,0,0,0,0
